№,Правила,,Этапы,Продажи,Цель,Срок в этапе (включительно),Условия выхода из этапа,"Условия, при которых сделки остаются (""Если еще"")",Запрещено,Обязательные поля,Задачи (с момента перехода),Отв-ный задачи,Срок создания и завершения,Тип,,Сделка,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,Комментарий к кмпетентности,Текстовое поле,Обратная связь,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,Вовлеченность и отзывчивость,Список,Обратная связь,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,Комментарий к вовлеченности,,Обратная связь,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,Пожелания магазину,Текстовое поле,Обратная связь,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,Причины провала,Список,Провал,Провал,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,Провал комментарий,Текстовое поле,Провал,Провал,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
